id,seed,final_train_perplexity,final_val_perplexity,model_dir,model_path,msf_ppl
20250926-103313,1059618,,,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103313'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103313'}/checkpoint_step1700_tokens87040000.pt,
20250926-103324,1115435,921.8061512119244,998.495853382024,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103324'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103324'}/checkpoint_step1700_tokens87040000.pt,9595.52
20250926-105219,1156583,1211.147758266367,1204.4159022708138,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105219'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105219'}/checkpoint_step1700_tokens87040000.pt,14824.32
20250926-105157,1219990,1402.5977784672075,1364.7820165072585,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105157'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105157'}/checkpoint_step1700_tokens87040000.pt,17496.32
20250926-103323,1253720,1030.5944044504065,1096.6331584284585,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103323'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103323'}/checkpoint_step1700_tokens87040000.pt,12399.36
20250926-103354,1322645,913.3856793224907,1030.1915141420939,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103354'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103354'}/checkpoint_step1700_tokens87040000.pt,8794.24
20250926-105249,1453966,490.78530668173516,502.07524555352444,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105249'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105249'}/checkpoint_step1700_tokens87040000.pt,3520.96
20250926-105208,1565173,,,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105208'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105208'}/checkpoint_step1700_tokens87040000.pt,
20250926-105202,1761784,,,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105202'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105202'}/checkpoint_step1700_tokens87040000.pt,
20250926-103333,1800963,491.8430662981954,586.9854309417088,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103333'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103333'}/checkpoint_step1700_tokens87040000.pt,4008.96
